Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
663,13.24072,2482,13.24,608
664,13.26072,2838,13.26,558
665,13.28072,3241,13.28,559
666,13.30072,3790,13.3,515
667,13.32072,4175,13.32,535
668,13.34072,4447,13.34,459
669,13.36072,4660,13.36,491
670,13.38072,4473,13.38,515
671,13.40072,4268,13.4,478
672,13.42072,3844,13.42,497
673,13.44072,3463,13.44,517
674,13.46072,3038,13.46,484
675,13.48072,2545,13.48,476
676,13.50072,2147,13.5,478
677,13.52072,1859,13.52,492
678,13.54072,1631,13.54,433
679,13.56072,1428,13.56,451
680,13.58072,1365,13.58,438
681,13.60072,1277,13.6,414
682,13.62072,1265,13.62,386
683,13.64072,1257,13.64,417
684,13.66072,1237,13.66,390
685,13.68072,1238,13.68,350
686,13.70072,1243,13.7,378
687,13.72072,1196,13.72,390
688,13.74072,1298,13.74,343
689,13.76072,1263,13.76,369
690,13.78072,1287,13.78,331
691,13.80072,1307,13.8,373
692,13.82072,1352,13.82,354
693,13.84072,1301,13.84,341
694,13.86072,1326,13.86,331
695,13.88072,1360,13.88,304
696,13.90072,1481,13.9,319
697,13.92072,1579,13.92,295
698,13.94072,1713,13.94,292
699,13.96072,2011,13.96,270
700,13.98072,2228,13.98,263
701,14.00072,2537,14,272
702,14.02072,2865,14.02,255
703,14.04072,3408,14.04,238
704,14.06072,3937,14.06,267
705,14.08072,4382,14.08,242
706,14.10072,4621,14.1,256
707,14.12072,4773,14.12,207
708,14.14072,4770,14.14,193
709,14.16072,4498,14.16,223
710,14.18072,4200,14.18,203
711,14.20072,3901,14.2,201
712,14.22072,3446,14.22,191
713,14.24072,3050,14.24,203
714,14.26072,2553,14.26,189
715,14.28072,2190,14.28,145
716,14.30072,2007,14.3,150
717,14.32072,1749,14.32,141
718,14.34072,1596,14.34,171
719,14.36072,1605,14.36,139
720,14.38072,1510,14.38,121
721,14.40072,1500,14.4,130
722,14.42072,1453,14.42,126
723,14.44072,1467,14.44,111
724,14.46072,1476,14.46,112
725,14.48072,1494,14.48,93
726,14.50072,1481,14.5,96
727,14.52072,1498,14.52,98
728,14.54072,1583,14.54,128
729,14.56072,1622,14.56,105
730,14.58072,1581,14.58,90
731,14.60072,1651,14.6,64
732,14.62072,1820,14.62,68
733,14.64072,1950,14.64,82
734,14.66072,2097,14.66,72
735,14.68072,2223,14.68,62
